,Plant_Species_Corrected,family,genus,mFruitLength_sp,,
11,Pseudospondias_longifolia,Anacardiaceae,Pseudospondias,12,https://link.springer.com/article/10.1007/s12229-018-9201-1,
12,Ricinodendron_heudelotii,Euphorbiaceae,Ricinodendron,29.28333333,Sinnott-Armstrong2019,
13,Donella_pruniformis,Sapotaceae,Donella,3.8,https://www.cambridge.org/core/journals/edinburgh-journal-of-botany/article/reinstatement-recircumscription-and-revision-of-the-genus-donella-sapotaceae/ACA1926810B120116A51A33CCB3D8C15,
14,Annickia_chlorantha,Annonaceae,Annickia,NA,,
15,Anopyxis_klaineana,Rhizophoraceae,Anopyxis,3.5,https://www.prota4u.org/database/protav8.asp?g=pe&p=Anopyxis+klaineana+(Pierre)+Engl.,
16,Blighia_welwitschii,Sapindaceae,Blighia,3.5,https://uses.plantnet-project.org/e/index.php?title=Blighia_welwitschii_(PROTA)&mobileaction=toggle_view_desktop,
17,Bridelia_atroviridis,Phyllanthaceae,Bridelia,7.197428571,Sinnott-Armstrong2019,
18,Celtis_mildbraedii,Cannabaceae,Celtis,8.583333333,Sinnott-Armstrong2019,
19,Celtis_tessmannii,Cannabaceae,Celtis,NA,,
20,Cleistopholis_glauca,Annonaceae,Cleistopholis,NA,,
21,Cleistopholis_patens,Annonaceae,Cleistopholis,NA,,
22,Coelocaryon_preussii,Myristicaceae,Coelocaryon,3.75,https://www.prota4u.org/database/protav8.asp?g=pe&p=Coelocaryon+preussii+Warb.,
23,Pachylobus_edulis,Burseraceae,Pachylobus,6.1,https://www.researchgate.net/publication/232997097_Classification_of_Dacryodes_Edulis_G_DON_HJ_Lam_by_using_morphological_and_physical_characteristics_of_the_fruits_A_statistical_approach/link/573b782a08ae9ace840eaade/download,
24,Discoglypremna_caloneura,Euphorbiaceae,Discoglypremna,0.7,https://www.prota4u.org/database/protav8.asp?g=pe&p=Discoglypremna+caloneura+(Pax)+Prain,
25,Duguetia_staudtii,Annonaceae,Duguetia,NA,,
26,Elaeis_guineensis,Arecaceae,Elaeis,38.75,Sinnott-Armstrong2019,
27,Eremospatha_macrocarpa,Arecaceae,Eremospatha,2.4,https://www.palmpedia.net/wiki/Eremospatha_macrocarpa,
28,Eriocoelum_macrocarpum,Sapindaceae,Eriocoelum,NA,,
29,Ficus_thonningii,Moraceae,Ficus,7.833307692,Sinnott-Armstrong2019,
30,Greenwayodendron_suaveolens,Annonaceae,Greenwayodendron,15,Sinnott-Armstrong2019,
31,Leplaea_cedrata,Meliaceae,Leplaea,NA,,
32,Guarea_thompsonii,Meliaceae,Guarea,NA,,
33,Heisteria_zimmereri,Olacaceae,Heisteria,1.1,https://uses.plantnet-project.org/en/Heisteria_parvifolia_(PROTA),
34,Laccosperma_secundiflorum,Arecaceae,Laccosperma,1.9,https://www.palmpedia.net/wiki/Laccosperma_secundiflorum,
35,Lannea_welwitschii,Anacardiaceae,Lannea,7.960666667,Sinnott-Armstrong2019,
36,Maesopsis_eminii,Rhamnaceae,Maesopsis,25.7,Sinnott-Armstrong2019,
37,Margaritaria_discoidea,Phyllanthaceae,Margaritaria,6,Sinnott-Armstrong2019,
38,Musanga_cecropioides,Urticaceae,Musanga,11.5,https://pfaf.org/user/Plant.aspx?LatinName=Musanga+cecropioides,
39,Petersianthus_macrocarpus,Lecythidaceae,Petersianthus,7,https://prota4u.org/database/protav8.asp?g=pe&p=Petersianthus+macrocarpus+(P.Beauv.)+Liben,
40,Pycnanthus_angolensis,Myristicaceae,Pycnanthus,34.9625,Sinnott-Armstrong2019,
41,Raphia_monbuttorum,Arecaceae,Raphia,9,https://www.jstor.org/stable/pdf/4108027.pdf?refreqid=excelsior%3A1d211f28173cbdf6a4c157d8e368cc62&ab_segments=&origin=,
42,Rauvolfia_caffra,Apocynaceae,Rauvolfia,14.68333333,Sinnott-Armstrong2019,
43,Staudtia_kamerunensis,Myristicaceae,Staudtia,25.4,Sinnott-Armstrong2019,
44,Sterculia_oblonga,Malvaceae,Sterculia,6,https://www.nparks.gov.sg/florafaunaweb/flora/3/1/3140,
45,Strombosia_pustulata,Olacaceae,Strombosia,NA,,
46,Strombosia_scheffleri,Olacaceae,Strombosia,24.045,Sinnott-Armstrong2019,
47,Strombosiopsis_tetrandra,Olacaceae,Strombosiopsis,NA,,
48,Terminalia_superba,Combretaceae,Terminalia,7.9,http://apps.worldagroforestry.org/treedb/AFTPDFS/Terminalia_ivorensis.PDF,
49,Trichilia_gilgiana,Meliaceae,Trichilia,NA,,
50,Trichilia_heudelotii,Meliaceae,Trichilia,NA,,
51,Uapaca_mole,Phyllanthaceae,Uapaca,2.75,https://www.prota.org,
52,Psorospermum_guineense,Hypericaceae,Psorospermum,NA,,
53,Breviea_sericea,Sapotaceae,Breviea,NA,,
54,Ficus_ampelos,Moraceae,Ficus,NA,,
55,Sterculia_tragacantha,Malvaceae,Sterculia,NA,,
56,Duboscia_macrocarpa,Malvaceae,Duboscia,NA,,
57,Ongokea_gore,Olacaceae,Ongokea,NA,,
58,Tetrapleura_tetraptera,Fabaceae,Tetrapleura,20,http://apps.worldagroforestry.org/treedb/AFTPDFS/Tetrapleura_tetraptera.PDF,
59,Anthonotha_fragrans,Fabaceae,Anthonotha,8.25,https://www.prota4u.org/database/protav8.asp?g=pe&p=Anthonotha+fragrans+(Baker+f.)+Exell+&+Hillc.,
60,Anthonotha_sassandraensis,Fabaceae,Anthonotha,13,https://plants.jstor.org/stable/10.5555/al.ap.specimen.p00368027,
61,Berlinia_grandiflora,Fabaceae,Berlinia,30,https://prota4u.org/database/protav8.asp?g=pe&p=Berlinia+grandiflora+(Vahl)+Hutch.+&+Dalziel,
62,Coelocaryon_oxycarpum,Myristicaceae,Coelocaryon,3.75,https://uses.plantnet-project.org/en/Coelocaryon_preussii_(PROTA)#Coelocaryon_oxycarpum,
63,Coula_edulis,Olacaceae,Coula,4,https://www.researchgate.net/publication/286202893_Reproductive_ecology_of_Coula_edulis_Baill_source_of_a_valuable_nontimber_forest_product,
64,Dialium_polyanthum,Fabaceae,Dialium,1.75,https://www.nparks.gov.sg/florafaunaweb/flora/3/9/3918,
65,Diospyros_sanza-minika,Ebenaceae,Diospyros,5,https://uses.plantnet-project.org/en/Diospyros_sanza-minika_(PROTA)#Diospyros_cooperi,
66,Diospyros_soubreana,Ebanaceae,Diospyros,2,https://plants.jstor.org/compilation/diospyros.soubreana,
67,Gilbertiodendron_preussii,Fabaceae,Gilbertiodendron,22.5,https://www.prota4u.org/database/protav8.asp?g=pe&p=Gilbertiodendron+dewevrei+(De+Wild.)+J.L%E9onard,
68,Maesobotrya_barteri,Phyllanthaceae,Maesobotrya,1,https://plants.jstor.org/stable/10.5555/al.ap.upwta.2_208,
69,Nauclea_diderrichii,Rubiaceae,Nauclea,31.75,Sinnott-Armstrong2019,
70,Parinari_excelsa,Chrysobalanaceae,Parinari,40.53571429,Sinnott-Armstrong2019,
71,Pentaclethra_macrophylla,Fabaceae,Pentaclethra,3.25,http://www.worldfloraonline.org/taxon/wfo-0000817744,
72,Pentadesma_butyracea,Clusiaceae,Pentadesma,50,https://prota4u.org/database/protav8.asp?g=pe&p=Pentaclethra+macrophylla+Benth.,
73,Sacoglottis_gabonensis,Humiriaceae,Sacoglottis,10.25,http://qualitree.neri.dk/index.php?page=report,
74,Scytopetalum_tieghemii,Lecythidaceae,Scytopetalum,3.5,https://www.prota4u.org/database/protav8.asp?g=pe&p=Sacoglottis+gabonensis+(Baill.)+Urb.,
75,Spondianthus_preussi,Phyllanthaceae,Spondianthus,0.5,https://plants.jstor.org/stable/10.5555/al.ap.specimen.fhi0033997-0,
76,Uapaca_guineensis,Phyllanthaceae,Uapaca,1.75,https://www.prota4u.org/database/protav8.asp?g=pe&p=Spondianthus+preussii,
77,Celtis_africana,Cannabaceae,Celtis,5,Sinnott-Armstrong2019,
78,Uvariopsis_congensis,Annonaceae,Uvariopsis,3,https://prota4u.org/database/protav8.asp?g=pe&p=Uvariopsis+congensis+Robyns+&+Ghesq.,
79,Aframomum_leptolepis,Zingiberaceae,Aframomum,10.765,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3689184/,
80,Gambeya_boukokoensis,Sapotaceae,Gambeya,NA,,
81,Uapaca_acuminata,Phyllanthaceae,Uapaca,2.75,https://www.prota.org,
82,Uapaca_uanhouttei,Phyllanthaceae,Uapaca,2.75,https://www.prota.org,
83,Biancaea_decapetala,Fabaceae,Biancaea,8.75,https://apps.lucidcentral.org/rainforest/text/entities/biancaea_decapetala.htm,
84,Funtumia_africana,Apocynaceae,Funtumia,30,https://apps.worldagroforestry.org/treedb/AFTPDFS/Funtumia_africana.PDF,
85,Musanga_leo-errerae,Urticaceae,Musanga,12,https://www.prota4u.org/database/protav8.asp?g=psk&p=Musanga%20cecropioides,
86,Palisota_mannii,Commelinaceae,Palisota,,,
87,Alafia_landolphioides,Apocynaceae,Alafia,31.5,https://www.yumpu.com/en/document/read/39813498/protabase-record-display-alafia-landolphioides-adc-prota4u,
88,Alstonia_boonei,Apocynaceae,Alstonia,39.5,https://www.prota4u.org/database/protav8.asp?g=pe&p=Alstonia+boonei+De+Wild.,
89,Antiaris_toxicaria,Moraceae,Antiaris,21.76875,Sinnott-Armstrong2019,
90,Bischofia_javanica,Phyllanthaceae,Bischofia,9,Sinnott-Armstrong2019,
91,Casearia_battiscombei,Salicaceae,Casearia,1.15,https://plants.jstor.org/compilation/Casearia.battiscombei,
92,Celtis_zenkeri,Cannabaceae,Celtis,8.660666667,Sinnott-Armstrong2019,
93,Gambeya_albida,Sapotaceae,Gambeya,7.8545,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjknOrqgv_6AhXoFVkFHSJeCU0QFnoECBEQAQ&url=https%3A%2F%2Fwww.ajol.info%2Findex.php%2Fgjpas%2Farticle%2Fview%2F45375%2F28857&usg=AOvVaw0bzhrDG3sYti-Vx5F2a09-,
94,Cordia_millenii,Boraginaceae,Cordia,36.6375,Sinnott-Armstrong2019,
95,Croton_macrostachyus,Euphorbiaceae,Croton,8.5,Sinnott-Armstrong2019,
96,Cynometra_alexandri,Fabaceae,Cynometra,7.5,https://prota4u.org/database/protav8.asp?g=pe&p=Cynometra+alexandri+C.H.Wright,
97,Dracaena_fragrans,Asparagaceae,Dracaena,15,Sinnott-Armstrong2019,
98,Ficus_lingua,Moraceae,Ficus,5,Sinnott-Armstrong2019,
99,Ficus_lutea,Moraceae,Ficus,19.75,Sinnott-Armstrong2019,
100,Ficus_natalensis,Moraceae,Ficus,13.75,Sinnott-Armstrong2019,
101,Ficus_sansibarica,Moraceae,Ficus,40,Sinnott-Armstrong2019,
102,Ficus_sur,Moraceae,Ficus,30,Sinnott-Armstrong2019,
103,Funtumia_elastica,Apocynaceae,Funtumia,304.8,Sinnott-Armstrong2019,
104,Harungana_madagascariensis,Asteraceae,Harungana,3.819166667,Sinnott-Armstrong2019,
105,Manilkara_butugi,Sapotaceae,Manilkara,11.43,https://hort.ifas.ufl.edu/trees/MANZAPA.pdf,
106,Mildbraediodendron_excelsum,Fabaceae,Mildbraediodendron,7,https://www.prota4u.org/database/protav8.asp?g=psk&p=Mildbraediodendron%20excelsum,
107,Mimulopsis_solmsii,Acanthaceae,Mimulopsis,14.5,https://plants.jstor.org/stable/10.5555/al.ap.flora.ftea010165,
108,Morus_mesozygia,Moraceae,Morus,5,Sinnott-Armstrong2019,
109,Musa_paradisiaca,Musaceae,Musa,190.5,Sinnott-Armstrong2019,
110,Psidium_guajava,Myrtaceae,Psidium,77.704,Sinnott-Armstrong2019,
111,Solanum_mauritianum,Solanaceae,Solanum,11.4,Sinnott-Armstrong2019,
112,Trilepisium_madagascariense,Moraceae,Trilepisium,15,Sinnott-Armstrong2019,
113,Vepris_nobilis,Rutaceae,Vepris,7,Sinnott-Armstrong2019,
114,Cissus_dinklagei,Vitaceae,Cissus,NA,,
115,Gambeya_lacourtiana,Sapotaceae,Gambeya,6.5,https://uses.plantnet-project.org/en/Chrysophyllum_lacourtianum_(PROTA),
116,Cissus_producta,Vitaceae,Cissus,14.5,Sinnott-Armstrong2019,
117,Drypetes_chevalieri,Putranjivaceae,Drypetes,2.5,https://prota4u.org/database/protav8.asp?g=pe&p=Drypetes+chevalieri+Beille,
118,Microcos_africana,Malvaceae,Microcos,NA,,
119,Hexalobus_crispiflorus,Annonaceae,Hexalobus,8.733,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjR1v3Plf_6AhVKFFkFHYuyD7QQFnoECBEQAQ&url=https%3A%2F%2Fcigrjournal.org%2Findex.php%2FEjounral%2Farticle%2Fdownload%2F3897%2F2761%2F21973&usg=AOvVaw2dcAj3jJJX77zpRbV1M4ai,
120,Plagiostyles_africana,Euphorbiaceae,Plagiostyles,2.5,,
121,Psychotria_camptopus,Rubiaceae,Psychotria,1,https://www.researchgate.net/publication/276247582_Distyly_and_floral_morphology_of_Psychotria_cephalophora_Rubiaceae_on_the_oceanic_Lanyu_Orchid_Island_Taiwan/link/5553185d08ae6943a86d999c/download,
122,Santiria_trimera,Burseraceae,Santiria,2.88,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiV5K7clv_6AhXrD1kFHfR_DbYQFnoECCQQAQ&url=https%3A%2F%2Fwww.biotaxa.org%2FPhytotaxa%2Farticle%2Fview%2Fphytotaxa.321.2.2%2F29517&usg=AOvVaw1CfotCUYv6bhFyVIDbpY_F,
123,Strombosia_grandifolia,Olacaceae,Strombosia,2.5,https://korupplants.myspecies.info/taxonomy/term/218,
124,Synsepalum_stipulatum,Sapotaceae,Synsepalum,,,
125,Allophylus_kiwuensis,Sapindaceae,Allophylus,0.875,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1631,
126,Canthium_oligocarpum,Rubiaceae,Canthium,2,http://apps.worldagroforestry.org/downloads/Publications/PDFS/B11913.pdf,
127,Carduus_schimperi,Compositae,Carduus,,,
128,Casuarina_equisetifolia,Casuarinaceae,Casuarina,2,http://www.iucngisd.org/gisd/species.php?sc=365,
129,Cynodon_dactylon,Poaceae,Cynodon,0.095,http://w3.biosci.utexas.edu/prc/K12/pages/Cynodon%20dactylon.html,
130,Cyphostemma_adenocaule,Vitaceae,Cyphostemma,6,Sinnott-Armstrong2019,
131,Deschampsia_cespitosa,Poaceae,Deschampsia,0.02,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=50130,
132,Embelia_schimperi,Primulaceae,Embelia,5,Sinnott-Armstrong2019,
133,Galiniera_saxifraga,Rubiaceae,Galiniera,8.5,Sinnott-Armstrong2019,
134,Hordeum_vulgare,Poaceae,Hordeum,0.2,https://www.researchgate.net/figure/Plant-remains-discussed-in-the-text-a-Hordeum-vulgare-ssp-vulgare-articulated-set-of_fig5_265855794,
135,Ilex_mitis,Aquifoliaceae,Ilex,6.79125,Sinnott-Armstrong2019,
136,Jasminum_abyssinicum,Oleaceae,Jasminum,NA,,
137,Juniperus_procera,Cupressaceae,Juniperus,6,Sinnott-Armstrong2019,
138,Lagenaria_abyssinica,Cucurbitaceae,Lagenaria,23.655,https://www.tandfonline.com/doi/pdf/10.1080/02571862.2015.1090024,
139,Maesa_lanceolata,Primulaceae,Maesa,3.66209,Sinnott-Armstrong2019,
140,Poa_infirma,Poaceae,Poa,NA,,
141,Psychotria_orophila,Rubiaceae,Psychotria,6.5,Sinnott-Armstrong2019,
142,Rubus_apetalus,Rosaceae,Rubus,6.5,Sinnott-Armstrong2019,
143,Solanum_etuberosum,Solanaceae,Solanum,1.15,https://solanaceaesource.myspecies.info/content/solanum-etuberosum,
144,Urera_hypselodendron,Urticaceae,Urera,1.25,https://prota4u.org/database/protav8.asp?g=pe&p=Urera+hypselodendron+(Hochst.+ex+A.Rich.)+Wedd.,
145,Desbordesia_glaucescens,Irvingiaceae,Desbordesia,3,http://uses.plantnet-project.org/en/Dacryodes_buettneri_(PROTA),
146,Diogoa_zenkeri,Olacaceae,Diogoa,NA,,
147,Lecomtedoxa_Klaineana,Sapotaceae,Lecomtedoxa,5,https://prota4u.org/database/protav8.asp?g=pe&p=Lecomtedoxa+klaineana+(Pierre+ex+Engl.)+Dubard,
148,Oubanguia_alata,Lecythidaceae,Oubanguia,1.75,https://uses.plantnet-project.org/en/Oubanguia_africana_(PROTA)#Oubanguia_alata,
149,Strychnos_gnetifolia,Loganiaceae,Strychnos,5,http://www.worldfloraonline.org/taxon/wfo-4000036956,
150,Uapaca_staudtii,Phyllanthaceae,Uapaca,2.5,"Breteler, F. J. (2013). Uapaca (Phyllanthaceae) in the Guineo-Congolian forest region: A synoptic revision. Plant Ecology and Evolution, 146(1), 75–94. https://doi.org/10.5091/plecevo.2013.770",
151,Uvariopsis_bakeriana,Annonaceae,Uvariopsis,0.75,https://phytokeys.pensoft.net/article/61432/element/7/0/Uvariopsis%20bakeriana/,
152,Albizia_grandibracteata,Fabaceae,Albizia,15.5,https://uses.plantnet-project.org/en/Albizia_gummifera_(PROTA)#Albizia_grandibracteata,
153,Diospyros_abyssinica,Ebenaceae,Diospyros,10.95,Sinnott-Armstrong2019,
154,Eucalyptus_grandis,Myrtaceae,Eucalyptus,0.7,https://apps.lucidcentral.org/euclid/text/entities/eucalyptus_grandis.htm,
155,Markhamia_lutea,Bignoniaceae,Markhamia,70,"http://www.flowersofindia.net/catalog/slides/Markhamia.html#:~:text=They%20measure%205%2D6%20cm,length%2C%20with%20abundant%20winged%20seeds.",
156,Olea_capensis,Olacaceae,Olea,14.75,Sinnott-Armstrong2019,
157,Pittosporum_viridiflorum,Pittosporaceae,Pittosporum,0.75,"https://witkoppenwildflower.co.za/pittosporum-viridiflorum/#:~:text=Fruit%3A,capsules%2C%205%20%E2%80%93%2010%20mm.",
158,Polyscias_fulva,Araliaceae,Polyscias,4.689333333,Sinnott-Armstrong2019,
159,Premna_angolensis,Lamiaceae,Premna,4.5,Sinnott-Armstrong2019,
160,Prunus_africana,Rosaceae,Prunus,6.807692308,Sinnott-Armstrong2019,
161,Shirakiopsis_elliptica,Euphorbiaceae,Shirakiopsis,7,Sinnott-Armstrong2019,
162,Bussea_occidentalis,Fabaceae,Bussea,22.5,https://www.prota4u.org/database/protav8.asp?g=pe&p=Bussea+occidentalis+Hutch.+&+Dalziel,
163,Albizia_altissima,Fabaceae,Albizia,3.81,https://treesandshrubsonline.org/articles/ailanthus/ailanthus-altissima/,
164,Holarrhena_floribunda,Apocynaceae,Holarrhena,45,https://www.prota4u.org/database/protav8.asp?g=pe&p=Holarrhena+floribunda+(G.Don)+T.Durand+&+Schinz,
165,Manniophyton_fulvum,Euphorbiaceae,Manniophyton,3.05,https://www.prota4u.org/database/protav8.asp?g=pe&p=Manniophyton+fulvum+M%C3%BCll.Arg.,
166,Millettia_rhodantha,Fabaceae,Millettia,10,https://www.prota4u.org/database/protav8.asp?g=pe&p=Millettia+rhodantha+Baill.,
167,Newtonia_aubrevillei,Fabaceae,Newtonia,NA,,
168,Piptadeniastrum_africanum,Fabaceae,Piptadeniastrum,24.25,https://uses.plantnet-project.org/en/Piptadeniastrum_africanum_(PROTA),
169,Albizia_dinklagei,Fabaceae,Albizia,NA,,
170,Celtis_toka,Cannabaceae,Celtis,0.75,https://www.prota4u.org/database/protav8.asp?g=psk&p=Celtis%20zenkeri,
171,Allophylus_ferrugineus,Sapindaceae,Allophylus,0.65,https://plants.jstor.org/compilation/allophylus.ferrugineus,
172,Bridelia_brideliifolia,Phyllanthaceae,Bridelia,9.13125,Sinnott-Armstrong2019,
173,Carapa_grandiflora,Meliaceae,Carapa,13.5,http://apps.worldagroforestry.org/usefultrees/pdflib/Carapa_procera_UGA.pdf,
174,Cassine_peragua,Celastraceae,Cassine,25,Sinnott-Armstrong2019,
175,Cola_congolana,Malvaceae,Cola,7,https://plants.jstor.org/compilation/Cola.congolana,
176,Drypetes_gerrardii,Putranjivaceae,Drypetes,12.75,Sinnott-Armstrong2019,
177,Ficus_oreodryadum,Moraceae,Ficus,NA,,
178,Myrianthus_holstii,Urticaceae,Myrianthus,61.075,Sinnott-Armstrong2019,
179,Mystroxylon_aethiopicum,Celastraceae,Mystroxylon,14.0366,Sinnott-Armstrong2019,
180,Olea_welwitschii,Olacaceae,Olea,11,Sinnott-Armstrong2019,
181,Olinia_usambarensis,Penaeaceae,Olinia,NA,,
182,Piper_capense,Piperaceae,Piper,0.3,https://prota4u.org/database/protav8.asp?g=pe&p=Piper+capense+L.f.,
183,Podocarpus_milanjianus,Podocarpaceae,Podocarpus,9.947222222,Sinnott-Armstrong2019,
184,Psychotria_palustris,Rubiaceae,Psychotria,NA,,
185,Myrsine_melanophloeos,Primulaceae,Myrsine,7,Sinnott-Armstrong2019,
186,Rubus_steudneri,Rosaceae,Rubus,NA,,
187,Rytigynia_kigeziensis,Rubiaceae,Rytigynia,NA,,
188,Symphonia_globulifera,Clusiaceae,Symphonia,29.4225,Sinnott-Armstrong2019,
189,Syzygium_guineense,Myrtaceae,Syzygium,21.07777778,Sinnott-Armstrong2019,
190,Triumfetta_tomentosa,Malvaceae,Triumfetta,1.25,"https://www.zambiaflora.com/speciesdata/species.php?species_id=138760#:~:text=long%3B%20ovary%204%2Dlocular%2C,%3B%20fruit%201%2D1.5%20cm.",
191,Aframomum_citratum,Zingiberaceae,Aframomum,NA,,
192,Aframomum_longipetiolatum,Zingiberaceae,Aframomum,NA,,
193,Antidesma_vogelianum,Euphorbiaceae,Antidesma,8,Sinnott-Armstrong2019,
194,Allophylus_africanus,Sapindaceae,Allophylus,6.7455,Sinnott-Armstrong2019,
195,Angylocalyx_pynaertii,Fabaceae,Angylocalyx,NA,,
196,Aoranthe_cladantha,Rubiaceae,Aoranthe,NA,,
197,Anonidium_mannii,Annonaceae,Anonidium,37.5,"http://lafermedeleo.eu/fruit-trees-we-are-looking-for-anonidium-mannii.html#:~:text=The%20fruit%20is%20edible%20with,weigh%20up%20to%207%20pounds.",
198,Chrysophyllum_africanum,Sapotaceae,Chrysophyllum,7,https://www.prota4u.org/database/protav8.asp?g=pe&p=Chrysophyllum+africanum+A.DC,
199,Gambeya_subnuda,Sapotaceae,Gambeya,3,https://uses.plantnet-project.org/en/Chrysophyllum_subnudum_(PROTA),
200,Cola_lizae,Malvaceae,Cola,NA,,
201,Pachylobus_normandii,Burseraceae,Pachylobus,3.5,https://prota4u.org/database/protav8.asp?g=pe&p=Dacryodes+normandii+Aubr%C3%A9v.+&+Pellegr.,
202,Barteria_nigritana,Passifloraceae,Barteria,3,https://plants-jstor-org.proxy.lib.duke.edu/stable/10.5555/al.ap.specimen.br0000006610111?newaccount=true,photo estimation
203,Brachystegia_eurycoma,Fabaceae,Brachystegia,NA,,
204,Caloncoba_glauca,Achariaceae,Caloncoba,7,https://plants-jstor-org.proxy.lib.duke.edu/fsi/img/size2/alukaplant/br/phase_01/br0007/br0000006610777.jpg,photo estimation
205,Caloncoba_welwitschii,Achariaceae,Caloncoba,10,https://plants.jstor.org/compilation/caloncoba.welwitschii,
206,Celtis_adolfi-friderici,Cannabaceae,Celtis,1.75,https://uses.plantnet-project.org/en/Celtis_adolfi-fridericii_(PROTA),
207,Dialium_zenkeri,Fabaceae,Dialium,2,https://plants.jstor.org/stable/10.5555/al.ap.specimen.a00053852?searchUri=filter%3Dname%26so%3Dps_group_by_genus_species%2Basc%26Query%3DDialium%2Bzenkeri,photo estimation
208,Diospyros_dendo,Ebenaceae,Diospyros,NA,,
