,Plant_Species_Corrected,Genus,Spp,Plant_Family,FruitLength,FruitWidth,Citation.ID.width,Citation.ID.length,WoodDensity,WoodDensity_TaxonomicLevel
29,Hordeum_vulgare,Hordeum,vulgare,Poaceae,2,0.5,"Morales, J., Rodríguez-Rodríguez, A., González-Marrero, M. del C., Martín-Rodríguez, E., Henríquez-Valido, P., & del-Pino-Curbelo, M. (2014). The archaeobotany of long-term crop storage in northwest African communal granaries: A case study from pre-Hispanic Gran Canaria (cal. ad 1000–1500). Vegetation History and Archaeobotany, 23(6), 789–804. https://doi.org/10.1007/s00334-014-0444-4","Morales, J., Rodríguez-Rodríguez, A., González-Marrero, M. del C., Martín-Rodríguez, E., Henríquez-Valido, P., & del-Pino-Curbelo, M. (2014). The archaeobotany of long-term crop storage in northwest African communal granaries: A case study from pre-Hispanic Gran Canaria (cal. ad 1000–1500). Vegetation History and Archaeobotany, 23(6), 789–804. https://doi.org/10.1007/s00334-014-0444-4",0.60289425,dataset
30,Ilex_mitis,Ilex,mitis,Aquifoliaceae,6,6,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.53,species
31,Jasminum_abyssinicum,Jasminum,abyssinicum,Oleaceae,NA,NA,NA,NA,0.756826492,family
32,Juniperus_procera,Juniperus,procera,Cupressaceae,6,6,World Agroforestry. https://www.worldagroforestry.org/output/agroforestree-database. ,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.485,genus
33,Lagenaria_abyssinica,Lagenaria,abyssinica,Cucurbitaceae,148.5,112.5,JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,"Mashilo, J., Shimelis, H., & Odindo, A. (2016). Genetic diversity of bottle gourd ( Lagenaria siceraria (Molina) Standl.) landraces of South Africa assessed by morphological traits and simple sequence repeat markers. South African Journal of Plant and Soil, 33(2), 113–124. https://doi.org/10.1080/02571862.2015.1090024",0.60289425,dataset
34,Maesa_lanceolata,Maesa,lanceolata,Primulaceae,5,5,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.676,species
35,Poa_infirma,Poa,infirma,Poaceae,NA,NA,NA,NA,0.60289425,dataset
36,Psychotria_orophila,Psychotria,orophila,Rubiaceae,6.5,6.5,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3","Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.5636,genus
37,Rubus_apetalus,Rubus,apetalus,Rosaceae,6.5,6.5,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3","Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.35,genus
38,Solanum_etuberosum,Solanum,etuberosum,Solanaceae,11.5,11.5,Solanum etuberosum. https://solanaceaesource.myspecies.info/content/solanum-etuberosum,Solanum etuberosum. https://solanaceaesource.myspecies.info/content/solanum-etuberosum,0.411857143,genus
39,Urera_hypselodendron,Urera,hypselodendron,Urticaceae,1.25,1.25,PROTA. Plant Resources of Tropical Africa. https://www.prota4u.org/,PROTA. Plant Resources of Tropical Africa. https://www.prota4u.org/,0.323555556,genus
40,Anthonotha_fragrans,Anthonotha,fragrans,Fabaceae,100,35,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.529,species
41,Desbordesia_glaucescens,Desbordesia,glaucescens,Irvingiaceae,130,37.5,Flora of Central Africa https://www.floredafriquecentrale.be/#/en/home,Flora of Central Africa https://www.floredafriquecentrale.be/#/en/home,0.915,species
42,Diogoa_zenkeri,Diogoa,zenkeri,Olacaceae,45,45,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.6955,species
43,Lecomtedoxa_Klaineana,Lecomtedoxa,Klaineana,Sapotaceae,NA,NA,NA,NA,0.823090909,genus
44,Oubanguia_alata,Oubanguia,alata,Lecythidaceae,1.75,NA,NA,"Affouard, A., Joly, A., Lombardo, J., Champ, J., Chouet, M., Gresse, H., Botella, C., Bonnet, P. (2023). Pl@ntNet automatically identified occurrences. Version 1.8. Pl@ntNet. Occurrence dataset https://doi.org/10.15468/mma2ec accessed via GBIF.org on 2023-08-16.",0.640188716,family
45,Staudtia_kamerunensis,Staudtia,kamerunensis,Myristicaceae,35,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.796529412,species
46,Strombosia_pustulata,Strombosia,pustulata,Olacaceae,20,19,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.830285714,species
47,Strychnos_gnetifolia,Strychnos,gnetifolia,Loganiaceae,50,50,WFO (2023): World Flora Online. Published on the Internet. http://www.worldfloraonline.org.,WFO (2023): World Flora Online. Published on the Internet. http://www.worldfloraonline.org.,0.689805556,genus
48,Uapaca_staudtii,Uapaca,staudtii,Phyllanthaceae,25,25,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.626341558,genus
49,Uvariopsis_bakeriana,Uvariopsis,bakeriana,Annonaceae,7.5,2,GBIF https://www.gbif.org,GBIF https://www.gbif.org,0.565580531,family
50,Celtis_toka,Celtis,toka,Cannabaceae,0.75,7.5,PROTA. Plant Resources of Tropical Africa. https://www.prota4u.org/,PROTA. Plant Resources of Tropical Africa. https://www.prota4u.org/,0.566228571,genus
51,Gambeya_albida,Gambeya,albida,Sapotaceae,52.745,46.47,"Dike, M. C. (2009). Relationships Between Fruits And Seed Sizes, Germination And Early Seedling Growth Of Some Edible Plant Species In Southeastern Nigerian Rainforest. Global Journal of Pure and Applied Sciences, 15(2), Article 2. https://doi.org/10.4314/gjpas.v15i2.45375","Dike, M. C. (2009). Relationships Between Fruits And Seed Sizes, Germination And Early Seedling Growth Of Some Edible Plant Species In Southeastern Nigerian Rainforest. Global Journal of Pure and Applied Sciences, 15(2), Article 2. https://doi.org/10.4314/gjpas.v15i2.45375",0.714868812,family
52,Drypetes_gerrardii,Drypetes,gerrardii,Putranjivaceae,15,12,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.703,species
53,Myrianthus_holstii,Myrianthus,holstii,Urticaceae,80,80,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.469,species
54,Mystroxylon_aethiopicum,Mystroxylon,aethiopicum,Celastraceae,14.0366,20,Ken Fern. (2022). Useful Tropical Plants. https://tropical.theferns.info/,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.67965462,family
56,Olinia_usambarensis,Olinia,usambarensis,Penaeaceae,NA,NA,NA,NA,0.739,genus
57,Podocarpus_milanjianus,Podocarpus,milanjianus,Podocarpaceae,9.947222222,8,JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,"Sinnott-Armstrong, M. A., Downie, A. E., Federman, S., Valido, A., Jordano, P., & Donoghue, M. J. (2019). Data from: Global geographic patterns in the colours and sizes of animal‐dispersed fruits (Version 1, p. 102016329 bytes) [dataset]. Dryad. https://doi.org/10.5061/DRYAD.BH84VS3",0.482998775,genus
58,Symphonia_globulifera,Symphonia,globulifera,Clusiaceae,30,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.6004,species
59,Syzygium_guineense,Syzygium,guineense,Myrtaceae,20,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.609666667,species
60,Vepris_nobilis,Vepris,nobilis,Rutaceae,7,6,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.659,genus
61,Antrocaryon_klaineanum,Antrocaryon,klaineanum,Anacardiaceae,20,35,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.5262,species
62,Canarium_schweinfurthii,Canarium,schweinfurthii,Burseraceae,40,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.4089375,species
63,Celtis_tessmannii,Celtis,tessmannii,Cannabaceae,20,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.6565,species
64,Pachylobus_klaineanus,Pachylobus,klaineanus,Burseraceae,NA,NA,NA,NA,0.518144351,family
65,Pachylobus_normandii,Pachylobus,normandii,Burseraceae,35,35,PROTA. Plant Resources of Tropical Africa. https://www.prota4u.org/,PROTA. Plant Resources of Tropical Africa. https://www.prota4u.org/,0.518144351,family
66,Dialium_pachyphyllum,Dialium,pachyphyllum,Fabaceae,25,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.9225,species
67,Greenwayodendron_suaveolens,Greenwayodendron,suaveolens,Annonaceae,20,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.565580531,family
68,Microcos_coriacea,Microcos,coriacea,Malvaceae,28.9,29.7,"Bustamante, K., Santos-Ordóñez, E., Miranda, M., Pacheco, R., Gutiérrez, Y., & Scull, R. (2019). Morphological and molecular barcode analysis of the medicinal tree Mimusops coriacea (A.DC.) Miq. Collected in Ecuador. PeerJ, 7, e7789. https://doi.org/10.7717/peerj.7789","Bustamante, K., Santos-Ordóñez, E., Miranda, M., Pacheco, R., Gutiérrez, Y., & Scull, R. (2019). Morphological and molecular barcode analysis of the medicinal tree Mimusops coriacea (A.DC.) Miq. Collected in Ecuador. PeerJ, 7, e7789. https://doi.org/10.7717/peerj.7789",0.481871795,genus
69,Microcos_pinnatifida,Microcos,pinnatifida,Malvaceae,3.5,NA,NA,JSTOR Global Plants. https://about.jstor.org/librarians/primary-sources/global-plants/,0.481871795,genus
70,Hexalobus_crispiflorus,Hexalobus,crispiflorus,Annonaceae,90,50,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.483666667,species
71,Musanga_cecropioides,Musanga,cecropioides,Urticaceae,120,40,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.242833333,species
72,Myrianthus_arboreus,Myrianthus,arboreus,Urticaceae,105,105,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.4495,genus
73,Parkia_bicolor,Parkia,bicolor,Fabaceae,270,25,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.4635,species
74,Plagiostyles_africana,Plagiostyles,africana,Euphorbiaceae,25,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.741333333,species
75,Pseudospondias_microcarpa,Pseudospondias,microcarpa,Anacardiaceae,20,16,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.566013283,family
76,Santiria_trimera,Santiria,trimera,Burseraceae,20,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.546333333,species
77,Uapaca_guineensis,Uapaca,guineensis,Phyllanthaceae,20,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.611857143,species
78,Gambeya_gorungosana,Gambeya,gorungosana,Sapotaceae,NA,NA,NA,NA,0.714868812,family
80,Parinari_excelsa,Parinari,excelsa,Chrysobalanaceae,40,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.7019375,species
